Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2025/1/1,2025,1,1,,3.6,,1.1,,2.3,,15.7,,0,,,,,,0.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/2,2025,1,2,,1.4,,-2.2,,-0.4,,18.4,,0,,,,,,0.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/3,2025,1,3,,0.8,,-4.2,,-1.7,,19.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/4,2025,1,4,,-1.6,,-5.8,,-3.7,,21.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/5,2025,1,5,,0,,-5.1,,-2.6,,20.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/6,2025,1,6,,-2.7,,-9,,-5.8,,23.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/7,2025,1,7,,-3.6,,-8,,-5.8,,23.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/8,2025,1,8,,-5.7,,-12,,-8.9,,26.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/9,2025,1,9,,-3.9,,-11,,-7.5,,25.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/10,2025,1,10,,-1.7,,-9.4,,-5.5,,23.5,,0,,,,,,4.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/1/11,2025,1,11,,0.7,,-4.3,,-1.8,,19.8,,0,,,,,,1.8,,6,,,M,,M
