Date,Total_Delay_Min,Delay_Count,Total_Precip_mm,Mean_Temp_C,Snow_On_Grnd_cm,DayOfWeek
2021-01-01,119,15,6.8,0.7,0.0,Friday
2021-01-02,182,20,10.8,0.7,0.0,Saturday
2021-01-03,39,10,1.7,1.1,0.0,Sunday
2021-01-04,178,19,0.0,0.8,0.0,Monday
2021-01-05,30,25,0.4,1.1,0.0,Tuesday
2021-01-06,39,14,0.0,0.9,0.0,Wednesday
2021-01-07,95,29,0.0,-2.0,0.0,Thursday
2021-01-08,59,23,0.0,-4.8,0.0,Friday
2021-01-09,62,28,0.0,0.8,0.0,Saturday
2021-01-10,237,19,0.0,0.1,0.0,Sunday
2021-01-11,76,28,0.0,-1.0,0.0,Monday
2021-01-12,12,13,0.3,-0.5,0.0,Tuesday
2021-01-13,62,26,0.0,1.5,0.0,Wednesday
2021-01-14,160,21,0.0,3.4,0.0,Thursday
2021-01-15,33,8,2.9,4.2,0.0,Friday
2021-01-16,22,9,0.0,2.3,0.0,Saturday
2021-01-17,31,17,0.2,2.3,0.0,Sunday
2021-01-18,124,26,0.0,-0.5,0.0,Monday
2021-01-19,56,16,0.0,0.0,0.0,Tuesday
2021-01-20,25,15,0.0,-4.0,0.0,Wednesday
2021-01-21,59,21,0.1,1.6,0.0,Thursday
2021-01-22,76,15,0.3,-1.9,0.0,Friday
2021-01-23,139,20,0.0,-7.3,0.0,Saturday
2021-01-24,85,16,0.0,-4.0,0.0,Sunday
2021-01-25,17,11,0.0,0.1,0.0,Monday
2021-01-26,48,23,8.7,-1.5,0.0,Tuesday
2021-01-27,38,18,0.0,-5.4,6.0,Wednesday
2021-01-28,182,28,0.0,-9.4,4.0,Thursday
2021-01-29,49,20,0.0,-9.4,4.0,Friday
2021-01-30,23,15,0.0,-6.3,4.0,Saturday
2021-01-31,30,14,0.0,-6.5,4.0,Sunday
2021-02-01,42,22,0.0,-5.8,4.0,Monday
2021-02-02,88,23,0.0,-3.9,3.0,Tuesday
2021-02-03,17,22,0.0,-2.5,3.0,Wednesday
2021-02-04,41,29,0.9,0.1,3.0,Thursday
2021-02-05,25,20,2.3,-1.7,2.0,Friday
2021-02-06,53,26,0.0,-6.6,2.0,Saturday
2021-02-07,22,11,0.8,-8.4,4.0,Sunday
2021-02-08,74,26,0.2,-8.7,3.0,Monday
2021-02-09,70,20,0.3,-5.6,4.0,Tuesday
2021-02-10,64,20,0.0,-7.2,3.0,Wednesday
2021-02-11,21,14,0.0,-6.3,3.0,Thursday
2021-02-12,15,16,0.3,-10.8,2.0,Friday
2021-02-13,62,17,1.6,-10.2,4.0,Saturday
2021-02-14,3,7,0.0,-7.1,8.0,Sunday
2021-02-15,52,16,5.4,-5.6,6.0,Monday
2021-02-16,65,27,5.5,-9.2,16.0,Tuesday
2021-02-17,57,32,0.0,-7.6,14.0,Wednesday
2021-02-18,56,21,3.7,-4.4,13.0,Thursday
2021-02-19,71,28,2.4,-3.6,19.0,Friday
2021-02-20,22,21,0.0,-4.1,20.0,Saturday
2021-02-21,28,14,0.0,-4.2,18.0,Sunday
2021-02-22,27,18,7.7,1.6,20.0,Monday
