Date,Total Precip (mm)
2021/1/1,6.8
2021/1/2,10.8
2021/1/3,1.7
2021/1/4,0
2021/1/5,0.4
2021/1/6,0
2021/1/7,0
2021/1/8,0
2021/1/9,0
2021/1/10,0
2021/1/11,0
2021/1/12,0.3
2021/1/13,0
2021/1/14,0
2021/1/15,2.9
2021/1/16,0
2021/1/17,0.2
2021/1/18,0
2021/1/19,0
2021/1/20,0
2021/1/21,0.1
2021/1/22,0.3
2021/1/23,0
2021/1/24,0
2021/1/25,0
2021/1/26,8.7
2021/1/27,0
2021/1/28,0
2021/1/29,0
2021/1/30,0
2021/1/31,0
2021/2/1,0
2021/2/2,0
2021/2/3,0
2021/2/4,0.9
2021/2/5,2.3
2021/2/6,0
2021/2/7,0.8
2021/2/8,0.2
2021/2/9,0.3
2021/2/10,0
2021/2/11,0
2021/2/12,0.3
2021/2/13,1.6
2021/2/14,0
2021/2/15,5.4
2021/2/16,5.5
2021/2/17,0
2021/2/18,3.7
2021/2/19,2.4
2021/2/20,0
2021/2/21,0
2021/2/22,7.7
2021/2/23,0.5
2021/2/24,0
2021/2/25,0
2021/2/26,0
2021/2/27,6.5
2021/2/28,1.3
2021/3/1,0
2021/3/2,0
2021/3/3,0
2021/3/4,0
2021/3/5,0
2021/3/6,0
2021/3/7,0
2021/3/8,0
2021/3/9,0
2021/3/10,0
2021/3/11,2.1
2021/3/12,0
2021/3/13,0
2021/3/14,0
2021/3/15,0
2021/3/16,0
2021/3/17,0
2021/3/18,0.4
2021/3/19,0
2021/3/20,0
2021/3/21,0
2021/3/22,0
2021/3/23,0
2021/3/24,0.8
2021/3/25,1
2021/3/26,28.4
2021/3/27,0
2021/3/28,9.5
2021/3/29,0
2021/3/30,0
2021/3/31,0
2021/4/1,0
2021/4/2,0
2021/4/3,0.3
2021/4/4,0
2021/4/5,0
2021/4/6,0.1
2021/4/7,0
2021/4/8,0
2021/4/9,0.8
2021/4/10,0
2021/4/11,16.3
2021/4/12,7
2021/4/13,0
2021/4/14,0.4
2021/4/15,0.8
2021/4/16,0.4
2021/4/17,0
2021/4/18,0
2021/4/19,0.7
2021/4/20,1.2
2021/4/21,4
2021/4/22,0
2021/4/23,0
2021/4/24,0
2021/4/25,0.8
2021/4/26,1.4
2021/4/27,4.3
2021/4/28,7
2021/4/29,9
2021/4/30,0
2021/5/1,0
2021/5/2,0.1
2021/5/3,2.4
2021/5/4,1.5
2021/5/5,0
2021/5/6,0
2021/5/7,0.1
2021/5/8,0.5
2021/5/9,0
2021/5/10,0
2021/5/11,0
2021/5/12,0
2021/5/13,0
2021/5/14,0
2021/5/15,0
2021/5/16,0
2021/5/17,0
2021/5/18,0
2021/5/19,0
2021/5/20,0
2021/5/21,0
2021/5/22,0.2
2021/5/23,0
2021/5/24,0
2021/5/25,0
2021/5/26,2.4
2021/5/27,0
2021/5/28,13.5
2021/5/29,0
2021/5/30,0
2021/5/31,0
2021/6/1,0
2021/6/2,5.5
2021/6/3,3.3
2021/6/4,0
2021/6/5,0
2021/6/6,0
2021/6/7,0
2021/6/8,5
2021/6/9,0
2021/6/10,0
2021/6/11,0
2021/6/12,0
2021/6/13,4.3
2021/6/14,2.5
2021/6/15,0
2021/6/16,0
2021/6/17,0
2021/6/18,8.2
2021/6/19,3.2
2021/6/20,0
2021/6/21,5.4
2021/6/22,0
2021/6/23,0
2021/6/24,0
2021/6/25,12.7
2021/6/26,4.6
2021/6/27,0
2021/6/28,0
2021/6/29,25
2021/6/30,0.1
2021/7/1,0
2021/7/2,5.1
2021/7/3,0
2021/7/4,0
2021/7/5,0.1
2021/7/6,0
2021/7/7,5.6
2021/7/8,26.8
2021/7/9,1.3
2021/7/10,0
2021/7/11,0.9
2021/7/12,0
2021/7/13,6.3
2021/7/14,0
2021/7/15,9.2
2021/7/16,0
2021/7/17,4.3
2021/7/18,0
2021/7/19,0
2021/7/21,0
2021/7/22,0
2021/7/23,0
2021/7/24,21.1
2021/7/25,0
2021/7/26,0
2021/7/27,9
2021/7/28,0
2021/7/29,12.1
2021/7/30,0
2021/7/31,0.1
2021/8/1,0.3
2021/8/2,0
2021/8/3,0
2021/8/4,0
2021/8/5,0
2021/8/6,0
2021/8/7,1.1
2021/8/8,0
2021/8/9,0
2021/8/10,0.5
2021/8/11,0.6
2021/8/12,0.9
2021/8/13,0
2021/8/14,0
2021/8/15,0
2021/8/16,0
2021/8/17,0
2021/8/18,0.8
2021/8/19,0
2021/8/20,0
2021/8/21,0
2021/8/22,0
2021/8/23,0
2021/8/24,0
2021/8/25,0
2021/8/26,0.4
2021/8/27,0
2021/8/28,4.4
2021/8/29,2.6
2021/8/30,0
2021/8/31,0
2021/9/1,0
2021/9/2,0
2021/9/3,0
2021/9/4,2.9
2021/9/5,2.3
2021/9/6,3.5
2021/9/7,21.8
2021/9/8,19
2021/9/9,0.2
2021/9/10,0
2021/9/11,0
2021/9/12,2.3
2021/9/13,0
2021/9/14,16.9
2021/9/15,0
2021/9/16,0
2021/9/17,0
2021/9/18,0
2021/9/19,0
2021/9/20,0
2021/9/21,6.2
2021/9/22,49.9
2021/9/23,4.2
2021/9/24,0.4
2021/9/25,3.4
2021/9/26,3.3
2021/9/27,2.3
2021/9/28,0
2021/9/29,0
2021/9/30,0
2021/10/1,0
2021/10/2,0.1
2021/10/3,22.8
2021/10/4,4.2
2021/10/5,0
2021/10/6,0
2021/10/7,0
2021/10/8,0
2021/10/9,7.1
2021/10/10,8.4
2021/10/11,0
2021/10/12,0
2021/10/13,0
2021/10/14,1.4
2021/10/15,20.4
2021/10/16,1.8
2021/10/17,0.2
2021/10/18,0
2021/10/19,0
